D1:1
D10:1
D11:1
D12:1
D13:1
D14:1
D15:1
D16:1
D17:1
D18:1
D19:1
D2:1
D20:1
D21:1
D22:1
D23:1
D24:1
D25:1
D26:1
D27:1
D28:1
D29:1
D3:1
D30:1
D4:1
D5:1
D6:1
D7:1
D8:1
D9:1
G***:2
J1:1
J2:1
MX1:2
MX10:2
MX11:2
MX12:2
MX13:2
MX14:2
MX15:2
MX16:2
MX17:2
MX18:2
MX19:2
MX2:2
MX20:2
MX21:2
MX22:2
MX23:2
MX24:2
MX25:2
MX26:2
MX27:2
MX28:2
MX29:2
MX3:2
MX30:2
MX4:2
MX5:2
MX6:2
MX7:2
MX8:2
MX9:2
REF**:2
RZ1:1
